ZONE I=100
0.29798 0.965427
0.298232 0.965255
0.298485 0.965083
0.298737 0.964909
0.29899 0.964734
0.299242 0.964559
0.299495 0.964383
0.299747 0.964206
0.3 0.964028
ZONE I=100
0.3 0.964028
0.300253 0.963849
0.300505 0.963669
0.300758 0.963488
0.30101 0.963307
0.301263 0.963125
0.301515 0.962941
0.301768 0.962757
0.30202 0.962572
0.302273 0.962386
0.302525 0.962199
0.302778 0.962012
0.30303 0.961823
0.303283 0.961633
0.303535 0.961443
0.303788 0.961251
0.30404 0.961059
0.304293 0.960866
0.304545 0.960671
0.304798 0.960476
0.305051 0.96028
0.305303 0.960083
0.305556 0.959885
0.305808 0.959686
0.306061 0.959486
0.306313 0.959285
0.306566 0.959083
0.306818 0.95888
0.307071 0.958676
0.307323 0.958471
0.307576 0.958265
0.307828 0.958059
0.308081 0.957851
0.308333 0.957642
0.308586 0.957432
0.308838 0.957221
0.309091 0.957009
0.309343 0.956796
0.309596 0.956582
0.309848 0.956367
0.310101 0.956151
0.310354 0.955934
0.310606 0.955716
0.310859 0.955496
0.311111 0.955276
0.311364 0.955055
0.311616 0.954832
0.311869 0.954609
0.312121 0.954384
0.312374 0.954159
0.312626 0.953932
0.312879 0.953704
0.313131 0.953475
0.313384 0.953245
0.313636 0.953014
0.313889 0.952781
0.314141 0.952548
0.314394 0.952313
0.314646 0.952078
0.314899 0.951841
0.315152 0.951603
0.315404 0.951364
0.315657 0.951124
0.315909 0.950882
0.316162 0.95064
0.316414 0.950396
0.316667 0.950151
0.316919 0.949905
0.317172 0.949658
0.317424 0.949409
0.317677 0.94916
0.317929 0.948909
0.318182 0.948657
0.318434 0.948404
0.318687 0.948149
0.318939 0.947893
0.319192 0.947636
0.319444 0.947378
0.319697 0.947119
0.319949 0.946858
0.320202 0.946596
0.320455 0.946333
0.320707 0.946069
0.32096 0.945803
0.321212 0.945536
0.321465 0.945268
0.321717 0.944999
0.32197 0.944728
0.322222 0.944456
0.322475 0.944182
0.322727 0.943908
0.32298 0.943632
0.323232 0.943354
0.323485 0.943076
0.323737 0.942796
0.32399 0.942514
0.324242 0.942232
0.324495 0.941948
0.324747 0.941662
0.325 0.941376
ZONE I=100
0.325 0.941376
0.325253 0.941087
0.325505 0.940798
0.325758 0.940507
0.32601 0.940215
0.326263 0.939921
0.326515 0.939626
0.326768 0.93933
0.32702 0.939032
0.327273 0.938733
0.327525 0.938432
0.327778 0.93813
0.32803 0.937827
0.328283 0.937522
0.328535 0.937215
0.328788 0.936907
0.32904 0.936598
0.329293 0.936287
0.329545 0.935975
0.329798 0.935661
0.330051 0.935346
0.330303 0.935029
0.330556 0.934711
0.330808 0.934391
0.331061 0.93407
0.331313 0.933747
0.331566 0.933423
0.331818 0.933097
